,Meta Score,Movie Name,Ratings,Year
0,77        ,Logan: The Wolverine,8.1,(2017)
1,74        ,Thor: Tag der Entscheidung,7.9,(2017)
2,67        ,Guardians of the Galaxy Vol. 2,7.6,(2017)
3,85        ,Star Wars - Episode VIII: Die letzten Jedi,7.0,(2017)
4,76        ,Wonder Woman,7.4,(2017)
5,94        ,Dunkirk,7.9,(2017)
6,73        ,Spider-Man: Homecoming,7.4,(2017)
7,84        ,Get Out,7.7,(I) (2017)
8,69        ,Es,7.3,(I) (2017)
9,81        ,Blade Runner 2049,8.0,(2017)
10,86        ,Baby Driver,7.6,(2017)
11,88        ,"Three Billboards Outside Ebbing, Missouri",8.2,(2017)
12,87        ,Shape of Water: Das Flüstern des Wassers,7.3,(2017)
13,75        ,John Wick: Kapitel 2,7.5,(2017)
14,81        ,Coco - Lebendiger als das Leben,8.4,(I) (2017)
15,65        ,Die Schöne und das Biest,7.1,(2017)
16,62        ,Kong: Skull Island,6.6,(2017)
17,65        ,Alien: Covenant,6.4,(2017)
18,82        ,Planet der Affen: Survival,7.4,(2017)
19,94        ,Lady Bird,7.4,(2017)
20,73        ,Wind River,7.7,(2017)
21,93        ,Call Me by Your Name,7.9,(2017)
22,75        ,Mother!,6.6,(2017)
23,63        ,Atomic Blonde,6.7,(2017)
24,77        ,Tonya,7.5,(2017)
25,75        ,Die dunkelste Stunde,7.4,(2017)
26,65        ,Barry Seal: Only in America,7.1,(2017)
